siteTransect,s1d,s1nt,s2d,s2nt,s3d,s3nt,s4d,s4nt,s4.2d,s4.2nt,s5d,s5nt,s6d,s6nt,s7d,s7nt,s8d,s8nt
OS5RT1,NA,NA,1,9,0,0,0,9,NA,NA,2,2,0,0,0,0,NA,NA
OS5RT2,NA,NA,1,10,0,0,0,1,NA,NA,1,2,0,0,0,0,NA,NA
OS5RT3,NA,NA,1,6,0,0,0,0,NA,NA,2,1,0,0,0,0,NA,NA
OS6FT1,NA,NA,1,0,0,2,1,0,NA,NA,0,0,0,1,0,1,NA,NA
OS6FT2,NA,NA,2,1,0,1,1,2,NA,NA,0,0,0,0,0,1,NA,NA
OS6FT3,NA,NA,0,2,0,0,0,0,NA,NA,0,0,0,0,0,1,NA,NA
OS6RT1,NA,NA,0,2,0,0,0,0,NA,NA,0,1,0,0,1,1,NA,NA
OS6RT2,NA,NA,0,1,0,0,0,0,NA,NA,1,0,0,0,1,0,NA,NA
OS6RT3,NA,NA,1,5,1,0,3,0,NA,NA,0,0,0,0,1,0,NA,NA
OS7FT1,NA,NA,0,4,1,2,2,2,NA,NA,0,0,1,0,0,1,NA,NA
OS7FT2,NA,NA,1,4,0,0,1,1,NA,NA,0,1,2,0,0,1,NA,NA
OS7FT3,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,NA,NA
OS7RT1,NA,NA,1,1,1,0,1,0,NA,NA,7,0,0,0,0,0,NA,NA
OS7RT2,NA,NA,0,2,0,0,1,1,NA,NA,0,9,0,0,0,0,NA,NA
OS7RT3,NA,NA,1,1,0,0,1,2,NA,NA,11,0,0,0,0,0,NA,NA
OS8 RT1,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
OS8 RT2,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
OS8FT1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,0,0,1,1,1,0
OS8FT2,NA,NA,NA,NA,0,0,0,2,0,1,NA,NA,0,0,3,3,0,0
OS8FT3,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,1,0,1,0,0
OS8RT3,NA,NA,NA,NA,0,0,3,1,1,0,NA,NA,0,0,2,0,0,0
OS9FT1,NA,NA,NA,NA,3,1,1,0,NA,NA,1,0,0,0,1,1,0,1
OS9FT2,NA,NA,NA,NA,3,0,1,0,NA,NA,2,1,0,0,1,0,0,1
OS9RT1,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,1,3,0,0
OS9RT2,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,2,3,0,0
